,price_expectations,expected_returns,returns_variance,risk_aversion,optimal_shares
0,"{'AXP': 138.74000549316406, 'AMGN': 226.3500061035156, 'AAPL': 123.63999938964844, 'BA': 220.1499938964844}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}","{'AXP': 1, 'AMGN': 1, 'AAPL': 1, 'BA': 1}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
1,"{'AXP': 138.74000549316406, 'AMGN': 226.3500061035156, 'AAPL': 123.63999938964844, 'BA': 220.1499938964844}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}","{'AXP': 1, 'AMGN': 1, 'AAPL': 1, 'BA': 1}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
2,"{'AXP': 138.56248781685198, 'AMGN': 226.73860893708923, 'AAPL': 123.70977892748434, 'BA': 220.3193930770799}","{'AXP': -0.17751767631207827, 'AMGN': 0.38860283357362846, 'AAPL': 0.06977953783589896, 'BA': 0.16939918059549086}","{'AXP': 1.005400693326751, 'AMGN': 1.0001492823376812, 'AAPL': 1.000490270085682, 'BA': 0.9996424040203852}","{'AXP': 0.9012568340435075, 'AMGN': 0.9012568340435075, 'AAPL': 0.9012568340435075, 'BA': 0.9012568340435075}","{'AXP': 0, 'AMGN': 43, 'AAPL': 7, 'BA': 18}"
3,"{'AXP': 138.5686120932971, 'AMGN': 227.01441772075873, 'AAPL': 123.77588181641661, 'BA': 220.40903648555474}","{'AXP': -0.001395230921644952, 'AMGN': 0.32441527935247905, 'AAPL': 0.07588486817441265, 'BA': 0.10903343379692387}","{'AXP': 1.0019111171555728, 'AMGN': 1.0003593069630319, 'AAPL': 1.0002108298537176, 'BA': 1.0000841603307558}","{'AXP': 0.9012569240653316, 'AMGN': 0.9012569240653316, 'AAPL': 0.9012569240653316, 'BA': 0.9012569240653316}","{'AXP': 0, 'AMGN': 35, 'AAPL': 8, 'BA': 12}"
4,"{'AXP': 138.57470687125434, 'AMGN': 226.927084873942, 'AAPL': 123.77646930744471, 'BA': 220.35851586138116}","{'AXP': 0.004699547035585283, 'AMGN': -0.046094521288637225, 'AAPL': 0.009969160619547779, 'BA': -0.03615200924406281}","{'AXP': 1.0013664078052524, 'AMGN': 1.00271843257315, 'AAPL': 1.0009473576936325, 'BA': 1.0010548824403673}","{'AXP': 0.9012567241035409, 'AMGN': 0.9012567241035409, 'AAPL': 0.9012567241035409, 'BA': 0.9012567241035409}","{'AXP': 0, 'AMGN': 0, 'AAPL': 1, 'BA': 0}"
5,"{'AXP': 138.5720259576216, 'AMGN': 226.76899876593964, 'AAPL': 123.70442566893412, 'BA': 220.30229785395352}","{'AXP': -0.0024332639243027643, 'AMGN': -0.15592490143973237, 'AAPL': -0.06946230841116119, 'BA': -0.057517428814293226}","{'AXP': 1.0011761410435631, 'AMGN': 1.0029778888595449, 'AAPL': 1.0018070469382176, 'BA': 1.0010102267638845}","{'AXP': 0.9012565323735647, 'AMGN': 0.9012565323735647, 'AAPL': 0.9012565323735647, 'BA': 0.9012565323735647}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
6,"{'AXP': 138.5697155913281, 'AMGN': 226.7816786381556, 'AAPL': 123.69752404734783, 'BA': 220.30725966993307}","{'AXP': -0.0025176815542238273, 'AMGN': -0.0028887125794199164, 'AAPL': -0.01356756525213143, 'BA': -0.0011303946911311868}","{'AXP': 1.0009818356882978, 'AMGN': 1.0013605549542133, 'AAPL': 1.000759536457274, 'BA': 1.0004169302002597}","{'AXP': 0.9012564882131824, 'AMGN': 0.9012564882131824, 'AAPL': 0.9012564882131824, 'BA': 0.9012564882131824}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
7,"{'AXP': 138.56995319389912, 'AMGN': 226.78951881536722, 'AAPL': 123.69955733039109, 'BA': 220.30818032267226}","{'AXP': -5.4130319625755874e-05, 'AMGN': 0.0049514646321995315, 'AAPL': -0.00046321999185749974, 'BA': -0.00020974195194867207}","{'AXP': 1.000811193677569, 'AMGN': 1.0011068551107185, 'AAPL': 1.000470453285749, 'BA': 1.0003504754008785}","{'AXP': 0.901256263362788, 'AMGN': 0.901256263362788, 'AAPL': 0.901256263362788, 'BA': 0.901256263362788}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
8,"{'AXP': 138.5699972804712, 'AMGN': 226.78766964184157, 'AAPL': 123.69993460105388, 'BA': 220.3083511475214}","{'AXP': -1.0043747550980697e-05, 'AMGN': -0.0018245915967440851, 'AAPL': -8.594932906191843e-05, 'BA': -3.8917102813229576e-05}","{'AXP': 1.0007092555940797, 'AMGN': 1.0010210165000664, 'AAPL': 1.0004064817874327, 'BA': 1.0003053529687667}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
9,"{'AXP': 138.57000546062613, 'AMGN': 226.78598896166397, 'AAPL': 123.70000460269654, 'BA': 220.3083828436516}","{'AXP': -1.863592615336529e-06, 'AMGN': -0.001862977539900612, 'AAPL': -1.5947686407002948e-05, 'BA': -7.220972605637144e-06}","{'AXP': 1.0006303474215372, 'AMGN': 1.000908087625406, 'AAPL': 1.00036033954814, 'BA': 1.0002711763340004}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
10,"{'AXP': 138.57000697843372, 'AMGN': 226.78616869772543, 'AAPL': 123.700017591329, 'BA': 220.30838872479052}","{'AXP': -3.457850255017547e-07, 'AMGN': -4.0947244002609295e-05, 'AAPL': -2.959053944096013e-06, 'BA': -1.3398336875525274e-06}","{'AXP': 1.0005672934562124, 'AMGN': 1.000802847142561, 'AAPL': 1.0003241213416505, 'BA': 1.0002440118593612}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
11,"{'AXP': 138.57000726005919, 'AMGN': 226.7862020473091, 'AAPL': 123.70002000133778, 'BA': 220.30838981602136}","{'AXP': -6.415956477212603e-08, 'AMGN': -7.597660328428901e-06, 'AAPL': -5.490451684408981e-07, 'BA': -2.486028449766309e-07}","{'AXP': 1.0005157177117512, 'AMGN': 1.0007295996536454, 'AAPL': 1.0002946211433374, 'BA': 1.0002218201613138}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
12,"{'AXP': 138.5700073123141, 'AMGN': 226.7843790825291, 'AAPL': 123.70002044850897, 'BA': 220.30839001849657}","{'AXP': -1.1904660368600162e-08, 'AMGN': -0.0018305624403183174, 'AAPL': -1.0187397947447607e-07, 'BA': -4.612763859768165e-08}","{'AXP': 1.0004727405585607, 'AMGN': 1.000683680267519, 'AAPL': 1.000270062890241, 'BA': 1.0002033334976492}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
13,"{'AXP': 138.57000732200987, 'AMGN': 226.7845324180329, 'AAPL': 123.70002053148048, 'BA': 220.30839005606532}","{'AXP': -2.2088784135121386e-09, 'AMGN': -3.493270207854948e-05, 'AAPL': -1.890246892344294e-08, 'BA': -8.558885156162432e-09}","{'AXP': 1.0004363757734562, 'AMGN': 1.0006164909142863, 'AAPL': 1.0002492876067994, 'BA': 1.0001876921504926}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
14,"{'AXP': 138.5700073238089, 'AMGN': 226.7845608690581, 'AAPL': 123.70002054687563, 'BA': 220.30839006303611}","{'AXP': -4.098410499864258e-10, 'AMGN': -6.481676877001519e-06, 'AAPL': -3.5073099979854305e-09, 'BA': -1.5880914361332543e-09}","{'AXP': 1.000405206051658, 'AMGN': 1.00057222687427, 'AAPL': 1.0002314811220607, 'BA': 1.0001742855105766}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
15,"{'AXP': 138.5700073241427, 'AMGN': 226.7845661480758, 'AAPL': 123.70002054973217, 'BA': 220.30839006432953}","{'AXP': -7.605649443576112e-11, 'AMGN': -1.202659177579335e-06, 'AAPL': -6.507718808279606e-10, 'BA': -2.9467628337442875e-10}","{'AXP': 1.0003781923104569, 'AMGN': 1.0005340356589834, 'AAPL': 1.000216049004847, 'BA': 1.0001626664657566}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
16,"{'AXP': 138.57000732420465, 'AMGN': 226.78456712758455, 'AAPL': 123.7000205502622, 'BA': 220.30839006456952}","{'AXP': -1.4097167877480388e-11, 'AMGN': -2.2315043679554947e-07, 'AAPL': -1.2074963251507143e-10, 'BA': -5.468336894409731e-11}","{'AXP': 1.0003545552902269, 'AMGN': 1.0005006504527922, 'AAPL': 1.0002025459341315, 'BA': 1.0001524998096356}","{'AXP': 0.9012564281380094, 'AMGN': 0.9012564281380094, 'AAPL': 0.9012564281380094, 'BA': 0.9012564281380094}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0}"
