,price_expectations,expected_returns,returns_variance,risk_aversion,optimal_shares
0,"{'AXP': 138.74000549316406, 'AMGN': 226.3500061035156, 'AAPL': 123.63999938964844, 'BA': 220.1499938964844, 'CAT': 220.07000732421875}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 1, 'AMGN': 1, 'AAPL': 1, 'BA': 1, 'CAT': 1}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
1,"{'AXP': 138.74000549316406, 'AMGN': 226.3500061035156, 'AAPL': 123.63999938964844, 'BA': 220.1499938964844, 'CAT': 220.07000732421875}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 1, 'AMGN': 1, 'AAPL': 1, 'BA': 1, 'CAT': 1}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
2,"{'AXP': 138.5287252667283, 'AMGN': 226.5914904746352, 'AAPL': 123.67611481905679, 'BA': 220.2676272436419, 'CAT': 220.07888806836382}","{'AXP': -0.21128022643577538, 'AMGN': 0.2414843711196113, 'AAPL': 0.03611542940835477, 'BA': 0.11763334715749352, 'CAT': 0.008880744145074004}","{'AXP': 1.558808141127173e-05, 'AMGN': 6.086981136532276e-07, 'AAPL': 3.727135509829599e-07, 'BA': 1.140608608656069e-08, 'CAT': 5.971204371583225e-06}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 175.8662146237066, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
3,"{'AXP': -6.535129152390935e+42, 'AMGN': -5.484729248515036e+42, 'AAPL': -1.6337377720695146e+42, 'BA': -1.2836638254752982e+42, 'CAT': -8.869014817600582e+42}","{'AXP': -6.535129152390935e+42, 'AMGN': -5.484729248515036e+42, 'AAPL': -1.6337377720695146e+42, 'BA': -1.2836638254752982e+42, 'CAT': -8.869014817600582e+42}","{'AXP': 2.224179685966082e+81, 'AMGN': 5.853904768429925e+80, 'AAPL': 1.7443166340341604e+80, 'BA': 3.395264393478622e+79, 'CAT': 1.622538666020239e+81}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 3.812418185349652e-41, 'AMGN': 1.2156981845203175e-40, 'AAPL': 1.2152713380585545e-40, 'BA': 4.905620309537167e-40, 'CAT': 7.09245441094357e-41}"
4,"{'AXP': 6.188269081857004e+53, 'AMGN': 5.193620453319547e+53, 'AAPL': 1.5470251171793419e+53, 'BA': 1.2155317787072064e+53, 'CAT': 8.39828087593488e+53}","{'AXP': 6.188269081857004e+53, 'AMGN': 5.193620453319547e+53, 'AAPL': 1.5470251171793419e+53, 'BA': 1.2155317787072064e+53, 'CAT': 8.39828087593488e+53}","{'AXP': 1.9943432128193137e+103, 'AMGN': 5.248989241774268e+102, 'AAPL': 1.564066996045258e+102, 'BA': 3.044413426480881e+101, 'CAT': 1.454873001732699e+103}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
5,"{'AXP': -5.859819038994336e+64, 'AMGN': -4.917962617834259e+64, 'AAPL': -1.4649148438014594e+64, 'BA': -1.1510159246717334e+64, 'CAT': -7.952531721011936e+64}","{'AXP': -5.859819038994336e+64, 'AMGN': -4.917962617834259e+64, 'AAPL': -1.4649148438014594e+64, 'BA': -1.1510159246717334e+64, 'CAT': -7.952531721011936e+64}","{'AXP': 1.7882569810410155e+125, 'AMGN': 4.706582896402617e+124, 'AAPL': 1.40244352452247e+124, 'BA': 2.7298177806533216e+123, 'CAT': 1.3045331340931574e+125}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 4.2517772406261404e-63, 'AMGN': 1.3558003401297762e-62, 'AAPL': 1.3553243020922027e-62, 'BA': 5.470964560864553e-62, 'CAT': 7.909818592438245e-63}"
6,"{'AXP': 5.548801888791876e+75, 'AMGN': 4.656935663243602e+75, 'AAPL': 1.3871626748391556e+75, 'BA': 1.089924329462594e+75, 'CAT': 7.530441254343145e+75}","{'AXP': 5.548801888791876e+75, 'AMGN': 4.656935663243602e+75, 'AAPL': 1.3871626748391556e+75, 'BA': 1.089924329462594e+75, 'CAT': 7.530441254343145e+75}","{'AXP': 1.603466750199557e+147, 'AMGN': 4.220226321748343e+146, 'AAPL': 1.2575214773076735e+146, 'BA': 2.4477309982780133e+145, 'CAT': 1.169728695164547e+147}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
7,"{'AXP': -5.254292358889011e+86, 'AMGN': -4.4097630374304326e+86, 'AAPL': -1.313537298505053e+86, 'BA': -1.0320752463031996e+86, 'CAT': -7.130753761758935e+86}","{'AXP': -5.254292358889011e+86, 'AMGN': -4.4097630374304326e+86, 'AAPL': -1.313537298505053e+86, 'BA': -1.0320752463031996e+86, 'CAT': -7.130753761758935e+86}","{'AXP': 1.437771889753108e+169, 'AMGN': 3.784127592948699e+168, 'AAPL': 1.1275750062224598e+168, 'BA': 2.1947937633028262e+167, 'CAT': 1.0488543253770999e+169}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 4.7417698754493944e-85, 'AMGN': 1.5120484555311895e-84, 'AAPL': 1.5115175568743724e-84, 'BA': 6.101461453925652e-84, 'CAT': 8.821379249014887e-85}"
8,"{'AXP': 4.975414286901197e+97, 'AMGN': 4.175709404742633e+97, 'AAPL': 1.2438196801712634e+97, 'BA': 9.77296574852142e+96, 'CAT': 6.752280177673929e+97}","{'AXP': 4.975414286901197e+97, 'AMGN': 4.175709404742633e+97, 'AAPL': 1.2438196801712634e+97, 'BA': 9.77296574852142e+96, 'CAT': 6.752280177673929e+97}","{'AXP': 1.2891991721730147e+191, 'AMGN': 3.393093295949925e+190, 'AAPL': 1.0110566042813635e+190, 'BA': 1.9679938959067994e+189, 'CAT': 9.404705556167448e+190}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
9,"{'AXP': -4.711338013847175e+108, 'AMGN': -3.954078458378194e+108, 'AAPL': -1.177802410743948e+108, 'BA': -9.254253492066989e+107, 'CAT': -6.3938945476308e+108}","{'AXP': -4.711338013847175e+108, 'AMGN': -3.954078458378194e+108, 'AAPL': -1.177802410743948e+108, 'BA': -9.254253492066989e+107, 'CAT': -6.3938945476308e+108}","{'AXP': 1.1559792741649631e+213, 'AMGN': 3.0424666801599574e+212, 'AAPL': 9.065786767353065e+211, 'BA': 1.7646304810426248e+211, 'CAT': 8.432866648703246e+212}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 5.288231315808119e-107, 'AMGN': 1.6863032588230614e-106, 'AAPL': 1.6857111771792345e-106, 'BA': 6.804619452306887e-106, 'CAT': 9.8379919773815e-107}"
10,"{'AXP': 4.4612779159232745e+119, 'AMGN': 3.744210848880687e+119, 'AAPL': 1.1152890896237044e+119, 'BA': 8.763072530811945e+118, 'CAT': 6.054530678599025e+119}","{'AXP': 4.4612779159232745e+119, 'AMGN': 3.744210848880687e+119, 'AAPL': 1.1152890896237044e+119, 'BA': 8.763072530811945e+118, 'CAT': 6.054530678599025e+119}","{'AXP': 1.0365257061455997e+235, 'AMGN': 2.7280722021208377e+234, 'AAPL': 8.128970164784364e+233, 'BA': 1.582281703770181e+233, 'CAT': 7.561453092827201e+234}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
11,"{'AXP': -4.224490067281832e+130, 'AMGN': -3.5454822225823797e+130, 'AAPL': -1.0560937404160959e+130, 'BA': -8.297961607178653e+129, 'CAT': -5.733178967063166e+130}","{'AXP': -4.224490067281832e+130, 'AMGN': -3.5454822225823797e+130, 'AAPL': -1.0560937404160959e+130, 'BA': -8.297961607178653e+129, 'CAT': -5.733178967063166e+130}","{'AXP': 9.294159190498721e+256, 'AMGN': 2.4461657997822825e+256, 'AAPL': 7.288959870302316e+255, 'BA': 1.4187760083383667e+255, 'CAT': 6.78008739576336e+256}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 5.897669263598177e-129, 'AMGN': 1.8806399162110838e-128, 'AAPL': 1.879979600596315e-128, 'BA': 7.58881232641767e-128, 'CAT': 1.0971763418722885e-128}"
12,"{'AXP': 4.000270026860569e+141, 'AMGN': 3.357301364159437e+141, 'AAPL': 1.000040257654068e+141, 'BA': 7.857537021644517e+140, 'CAT': 5.428883395464304e+141}","{'AXP': 4.000270026860569e+141, 'AMGN': 3.357301364159437e+141, 'AAPL': 1.000040257654068e+141, 'BA': 7.857537021644517e+140, 'CAT': 5.428883395464304e+141}","{'AXP': 8.333743634737987e+278, 'AMGN': 2.193390305202579e+278, 'AAPL': 6.535752366399159e+277, 'BA': 1.2721662375544455e+277, 'CAT': 6.079464426989028e+278}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
13,"{'AXP': -3.7879507426787124e+152, 'AMGN': -3.1791084377732827e+152, 'AAPL': -9.469618828862559e+151, 'BA': -7.440488516252169e+151, 'CAT': -5.140738688059049e+152}","{'AXP': -3.7879507426787124e+152, 'AMGN': -3.1791084377732827e+152, 'AAPL': -9.469618828862559e+151, 'BA': -7.440488516252169e+151, 'CAT': -5.140738688059049e+152}","{'AXP': 7.472572994072977e+300, 'AMGN': 1.9667354646953438e+300, 'AAPL': 5.860377852940565e+299, 'BA': 1.1407064444717171e+299, 'CAT': 5.451240605264172e+300}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 6.57734139556552e-151, 'AMGN': 2.0973727447546486e-150, 'AAPL': 2.0966363316000557e-150, 'BA': 8.463378875076509e-150, 'CAT': 1.2236195434311208e-150}"
14,"{'AXP': 3.586900567365207e+163, 'AMGN': 3.0103733215655756e+163, 'AAPL': 8.967007085725546e+162, 'BA': 7.045575376607495e+162, 'CAT': 4.867887617734861e+163}","{'AXP': 3.586900567365207e+163, 'AMGN': 3.0103733215655756e+163, 'AAPL': 8.967007085725546e+162, 'BA': 7.045575376607495e+162, 'CAT': 4.867887617734861e+163}","{'AXP': inf, 'AMGN': inf, 'AAPL': inf, 'BA': inf, 'CAT': inf}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
15,"{'AXP': -3.3965213790152243e+174, 'AMGN': -2.850594030551919e+174, 'AAPL': -8.491072083110471e+173, 'BA': -6.671622740768903e+173, 'CAT': -4.609518455769482e+174}","{'AXP': -3.3965213790152243e+174, 'AMGN': -2.850594030551919e+174, 'AAPL': -8.491072083110471e+173, 'BA': -6.671622740768903e+173, 'CAT': -4.609518455769482e+174}","{'AXP': inf, 'AMGN': inf, 'AAPL': inf, 'BA': inf, 'CAT': inf}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
16,"{'AXP': 3.2162468017845345e+185, 'AMGN': 2.6992952232224423e+185, 'AAPL': 8.040397919987181e+184, 'BA': 6.317518104046883e+184, 'CAT': 4.3648625569475424e+185}","{'AXP': 3.2162468017845345e+185, 'AMGN': 2.6992952232224423e+185, 'AAPL': 8.040397919987181e+184, 'BA': 6.317518104046883e+184, 'CAT': 4.3648625569475424e+185}","{'AXP': inf, 'AMGN': inf, 'AAPL': inf, 'BA': inf, 'CAT': inf}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
