,type,cash,holdings
0,0,494552.4780962538,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0, 'CVX': 0, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0, 'INTC': 0, 'JNJ': 0, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0, 'VZ': 0, 'V': 0, 'WBA': 0, 'WMT': 0, 'DIS': 0, 'DOW': 0}"
1,0,494552.4780962538,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0, 'CVX': 0, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0, 'INTC': 0, 'JNJ': 0, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0, 'VZ': 0, 'V': 0, 'WBA': 0, 'WMT': 0, 'DIS': 0, 'DOW': 0}"
2,0,494552.4780962538,"{'AXP': 0.0486313691045416, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0.008603087317013442, 'CVX': 0.021947711791450237, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0.08047384151747308, 'INTC': 0.01720334374275716, 'JNJ': 0.037036486391220154, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.014370741672936761, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.10356964984933537, 'VZ': 0.028709097772428638, 'V': 0.005740449506560969, 'WBA': 0.017319381586749543, 'WMT': 0, 'DIS': 0.14010319338197866, 'DOW': 0}"
3,0,494552.4780962538,"{'AXP': 0.0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0.0, 'CVX': 0.0, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0.0, 'INTC': 0.0, 'JNJ': 0.0, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.0, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.0, 'VZ': 0.0, 'V': 0.0, 'WBA': 0.0, 'WMT': 0, 'DIS': 0.0, 'DOW': 0}"
4,0,494552.4780962538,"{'AXP': 0.003027761360689501, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0.0005688366173838881, 'CVX': 0.002717381214236411, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0.004246973436623841, 'INTC': 0.0024374468831167887, 'JNJ': 0.0021492703735934964, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.0031218288250623263, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.013888685367839899, 'VZ': 0.004274944475752054, 'V': 0.0008512913233624189, 'WBA': 0.0036530963931455827, 'WMT': 1.8687795631782935e-07, 'DIS': 0.015878333261762, 'DOW': 0}"
5,0,494552.4780962538,"{'AXP': 0.0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0.0, 'CVX': 0.0, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0.0, 'INTC': 0.0, 'JNJ': 0.0, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.0, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.0, 'VZ': 0.0, 'V': 0.0, 'WBA': 0.0, 'WMT': 4.485653387200778e-08, 'DIS': 0.0, 'DOW': 0}"
6,0,494552.4780962538,"{'AXP': 0.00019505364325681182, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 3.7277696489627645e-05, 'CVX': 0.0003552325520115597, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0.0002484621183725083, 'INTC': 0.0003401192018542525, 'JNJ': 0.0001312898534361103, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.0007085572983269695, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.002135370949483963, 'VZ': 0.0006332636119569451, 'V': 0.00012944612947498222, 'WBA': 0.0008063159529051006, 'WMT': 8.638744323453908e-08, 'DIS': 0.0021621059824323483, 'DOW': 0}"
7,0,494552.4780962538,"{'AXP': 0.0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0.0, 'CVX': 0.0, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0.0, 'INTC': 0.0, 'JNJ': 0.0, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.0, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.0, 'VZ': 0.0, 'V': 0.0, 'WBA': 0.0, 'WMT': 2.6232385656672907e-08, 'DIS': 0.0, 'DOW': 0}"
8,0,494552.4780962538,"{'AXP': 1.1883621788104331e-05, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 2.3740329370151356e-06, 'CVX': 4.954481219465208e-05, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 1.4725400702960412e-05, 'INTC': 4.746523441744516e-05, 'JNJ': 8.091411715452427e-06, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.00015945148370804455, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.00033300453210147586, 'VZ': 9.43446391480337e-05, 'V': 1.9552198833305355e-05, 'WBA': 0.00017670430197076512, 'WMT': 3.978797031605589e-08, 'DIS': 0.0003017024146555869, 'DOW': 0}"
9,0,494552.4780962538,"{'AXP': 0.0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0, 'CSCO': 0.0, 'CVX': 0.0, 'GS': 0, 'HD': 0, 'HON': 0, 'IBM': 0.0, 'INTC': 0.0, 'JNJ': 0.0, 'KO': 0, 'JPM': 0, 'MCD': 0, 'MMM': 0, 'MRK': 0, 'MSFT': 0.0, 'NKE': 0, 'PG': 0, 'TRV': 0, 'UNH': 0, 'CRM': 0.0, 'VZ': 0.0, 'V': 0.0, 'WBA': 0.0, 'WMT': 1.6434303100601584e-08, 'DIS': 0.0, 'DOW': 0}"
