,price,bid_volume,offer_volume
0,147.0,0.0,0.0
1,147.47000122070312,0.0,0.0
2,148.02000427246094,8.0,0.0
3,148.25191812369746,6.0,0.0
4,148.42585351212486,1.0,4.0
5,148.33888581791118,0.0,0.0
6,148.33888581791118,4.0,7.0
7,148.2519181236975,0.0,0.0
8,148.2519181236975,6.0,4.0
9,148.30989658650662,1.0,0.0
10,148.33888581791118,0.0,4.0
11,148.2229288922929,5.0,1.0
12,148.33888581791118,1.0,1.0
13,148.33888581791118,0.0,7.0
14,148.13596119807923,17.0,4.0
15,148.51282120633857,5.0,11.0
16,148.33888581791118,9.0,0.0
17,148.59978890055226,,
