,price,bid_volume,offer_volume
0,204.3300018310547,0.0,0.0
1,203.92999267578125,0.0,0.0
2,204.41000366210935,59.0,0.0
3,204.96427939193995,59.0,0.0
4,205.51855512177056,26.0,0.0
5,205.76281222305184,0.0,46.0
6,205.33066504386187,63.0,94.0
7,205.0394354231034,10.0,16.0
8,204.9830683997308,0.0,41.0
9,204.597893740018,57.0,1.0
10,205.1239859581623,65.0,76.0
11,205.02064641531254,19.0,62.0
12,204.61668274780888,54.0,3.0
13,205.095802446476,61.0,73.0
14,204.9830683997308,20.0,58.0
15,204.62607725170432,47.0,3.0
16,205.0394354231034,52.0,67.0
17,204.8985178646719,25.0,51.0
18,204.65426076339062,26.0,1.0
19,204.88912336077647,26.0,51.0
20,204.65426076339062,45.0,26.0
21,204.83275633740388,19.0,45.0
22,204.5884992361226,48.0,19.0
23,204.8609398490902,34.0,48.0
24,204.7294167945541,25.0,34.0
25,204.64486625949522,2.0,9.0
26,204.5791047322272,1.0,3.0
27,204.56031572443632,0.0,11.0
28,204.45697618158655,19.0,0.0
29,204.6354717555998,22.0,24.0
30,204.61668274780894,2.0,19.0
31,204.45697618158655,31.0,3.0
32,204.7200222906587,37.0,33.0
33,204.75760030624045,0.0,20.0
34,204.5697102283318,37.0,17.0
35,204.75760030624045,24.0,37.0
36,204.6354717555998,23.0,24.0
37,204.62607725170437,0.0,21.0
38,204.42879266990028,40.0,0.0
39,204.80457282571763,53.0,42.0
40,204.9079123685674,1.0,19.0
41,204.73881129844958,30.0,35.0
42,204.6918387789724,1.0,21.0
43,204.50394870106373,31.0,0.0
44,204.7951783218222,37.0,41.0
45,204.75760030624045,6.0,33.0
46,204.50394870106373,45.0,4.0
47,204.88912336077652,53.0,51.0
48,204.9079123685674,0.0,33.0
49,204.5978937400181,58.0,20.0
50,204.95488488804457,48.0,58.0
51,204.86093984909024,17.0,47.0
52,204.57910473222722,38.0,1.0
53,204.92670137635827,45.0,55.0
54,204.83275633740394,17.0,45.0
55,204.5697102283318,35.0,0.0
56,204.89851786467196,42.0,52.0
57,204.80457282571763,17.0,42.0
58,204.5697102283318,31.0,0.0
59,204.86093984909024,36.0,48.0
60,204.74820580234504,21.0,36.0
61,204.60728824391353,9.0,0.0
62,204.69183877897242,5.0,30.0
63,204.45697618158658,48.0,5.0
64,204.86093984909024,56.0,48.0
65,204.9360958802537,0.0,25.0
66,204.70123328286786,43.0,31.0
67,204.81396732961306,10.0,43.0
68,204.50394870106376,60.0,10.0
69,204.97367389583545,65.0,60.0
70,205.02064641531263,1.0,36.0
71,204.69183877897245,59.0,30.0
72,204.96427939194004,33.0,59.0
73,204.72002229065876,47.0,33.0
74,204.85154534519484,11.0,47.0
75,204.51334320495923,64.0,11.0
76,205.01125191141722,68.0,64.0
77,205.04882992699896,1.0,41.0
78,204.6730497711816,66.0,28.0
79,205.0300409192081,46.0,66.0
80,204.84215084129943,35.0,46.0
81,204.73881129844966,3.0,13.0
82,204.64486625949533,0.0,2.0
83,204.62607725170446,0.0,17.0
84,204.46637068548208,29.0,0.0
85,204.73881129844966,34.0,35.0
86,204.72941679455423,1.0,27.0
87,204.48515969327295,48.0,7.0
88,204.87033435298574,55.0,49.0
89,204.92670137635835,0.0,29.0
90,204.65426076339077,51.0,26.0
91,204.8891233607766,29.0,51.0
92,204.68244427507707,40.0,29.0
93,204.78578381792684,9.0,40.0
94,204.49455419716838,57.0,9.0
95,204.9454903841492,63.0,57.0
96,205.0018574075218,0.0,35.0
97,204.67304977118164,59.0,28.0
98,204.9642793919401,37.0,59.0
99,204.75760030624056,39.0,37.0
100,204.77638931403143,0.0,38.0
101,204.41939816600495,67.0,0.0
102,205.04882992699902,,
