,price,bid_volume,offer_volume
0,220.0399932861328,0.0,0.0
1,220.1499938964844,0.0,0.0
2,220.3000030517578,1.0,0.0
3,220.3499317973543,2.0,0.0
4,220.44978928854727,1.0,1.0
5,220.44978928854727,0.0,0.0
6,220.44978928854727,1.0,2.0
7,220.3998605429508,0.0,0.0
8,220.3998605429508,1.0,1.0
9,220.3998605429508,0.0,0.0
10,220.3998605429508,0.0,1.0
11,220.34993179735432,1.0,0.0
12,220.3998605429508,0.0,0.0
13,220.3998605429508,0.0,1.0
14,220.34993179735432,2.0,1.0
15,220.3998605429508,1.0,1.0
16,220.3998605429508,1.0,0.0
17,220.44978928854727,,
