,price,bid_volume,offer_volume
0,48.4192008972168,0.0,0.0
1,48.320098876953125,0.0,0.0
2,48.2599983215332,0.0,0.0
3,48.39965671536376,0.0,0.0
4,48.53931510919432,0.0,0.0
5,48.679214646518226,0.0,0.0
6,48.820034497338156,0.0,0.0
7,48.96179297586797,0.0,0.0
8,49.10492406881798,0.0,0.0
9,49.25006416631213,0.0,0.0
10,49.39751087200891,0.0,0.0
11,49.54749600628352,0.0,0.0
12,49.70025614964508,0.0,0.0
13,49.85301629300664,0.0,0.0
14,50.0057764363682,0.0,0.0
15,50.15853657972976,0.0,0.0
16,50.311296723091324,0.0,0.0
17,50.464056866452886,,
