,price,bid_volume,offer_volume
0,259.0,0.0,0.0
1,259.0299987792969,0.0,0.0
2,259.07000732421875,0.0,0.0
3,259.07000732421875,1.868601635360908e-05,0.0
4,259.07000772212984,1.0042749445923011e-05,0.0
5,259.0700079359861,6.02413725014211e-06,0.0
6,259.07000806426765,3.9386107110628315e-06,0.0
7,259.07000814813875,2.788216601779025e-06,0.0
8,259.07000820751267,2.080854939898219e-06,0.0
9,259.07000825182365,1.6125851596753564e-06,0.0
10,259.070008286163,1.2863908463002686e-06,0.0
11,259.0700083135562,1.0500395326069607e-06,0.0
12,259.0700083359163,8.733014188941619e-07,0.0
13,259.07000835451294,7.376820402008781e-07,0.0
14,259.07000837022156,6.3134535833456e-07,0.0
15,259.0700083836658,5.464292397298403e-07,0.0
16,259.0700083953018,4.775450605551118e-07,0.0
17,259.0700084054709,,
