,price,bid_volume,offer_volume
0,334.3599853515625,0.0,0.0
1,335.44500732421875,0.0,0.0
2,337.4599914550781,29.0,0.0
3,338.60599155324053,23.0,0.0
4,339.51488818281763,4.0,17.0
5,339.00116400088274,9.0,1.0
6,339.3173019589965,17.0,33.0
7,338.685026042769,26.0,1.0
8,339.6729571618745,23.0,40.0
9,339.00116400088274,17.0,1.0
10,339.63343991711025,2.0,30.0
11,338.5269570637121,41.0,2.0
12,340.0681296095167,3.0,27.0
13,339.11971573517536,10.0,23.0
14,338.6059915532405,50.0,24.0
15,339.6334399171102,18.0,31.0
16,339.1197157351753,32.0,1.0
17,340.34475032286616,,
